# MIDI note/CC name map
100 Stick Clicks
98 Stick Clicks
96 Stick Clicks
95 Stick Clicks
93 Small Boxes (Brushes)
91 Small Boxes (Brushes)
89 Small Boxes (Brushes)
88 Small Boxes (Brushes)
86 Large Boxes (Brushes)
84 Large Boxes (Brushes)
83 Medium Boxes (Brushes)
81 Medium Boxes (Brushes)
79 Medium Boxes (Brushes)
77 Medium Boxes (Brushes)
76 Large Boxes (Brushes)
74 Large Boxes (Brushes)
72 Tiny Boxes (Hands)
71 Tiny Boxes (Hands)
69 Small Boxes (Sticks)	
67 Small Boxes (Sticks)
65 Small Boxes (Hands)
64 Small Boxes (Hands)
62 Medium Boxes (Sticks)
60 Medium Boxes (Sticks)
59 Medium Boxes (Hands)
57 Medium Boxes (Hands)
55 Large Boxes (Sticks)	
53 Large Boxes (Sticks)
52 Large Boxes (Hands)
50 Large Boxes (Hands)
48 Huge Boxes (Hands)
47 Huge Boxes (Hands)
45 Huge Boxes (Mallets)
43 Huge Boxes (Mallets)
41 Huge Boxes (Hands)
40 Huge Boxes (Hands)
38 Huge Boxes (Mallets)
36 Huge Boxes (Mallets)
